band_id,band_url,band_name,num_performances
62,/relation:dixie-chicks,Dixie Chicks,2
63,/relation:the-drifters,The Drifters,1
64,/relation:dropkick-murphys,Dropkick Murphys,3
65,/relation:dr-zoom-the-sonic-boom,Dr. Zoom & The Sonic Boom,2
66,/relation:the-dukes,The Dukes,1
67,/relation:earth,Earth,22
68,/relation:the-eddie-testa-band,The Eddie Testa Band,1
69,/relation:elvis-costello-the-imposters,Elvis Costello & The Imposters,1
70,/relation:the-epidemics,The Epidemics,1
71,/relation:the-e-street-band,The E Street Band,1951
72,/relation:the-e-street-choir,The E Street Choir,342
73,/relation:the-e-street-horns,The E Street Horns,253
74,/relation:eurythmics,Eurythmics,2
75,/relation:the-exciters,The Exciters,1
76,/relation:the-fabulous-greaseband,The Fabulous Greaseband,3
77,/relation:the-fairlanes,The Fairlanes,1
78,/relation:the-fanatics,The Fanatics,2
79,/relation:the-fat-boys,The Fat Boys,0
80,/relation:elysian-fields,"Fields, Elysian",1
81,/relation:flo-and-eddie,Flo and Eddie,7
82,/relation:the-four-seasons,The Four Seasons,1
83,/relation:four-tops,Four Tops,1
84,/relation:the-friendly-enemies,The Friendly Enemies,3
85,/relation:the-frontstreet-runners,The Frontstreet Runners,5
86,/relation:funky-dusty-the-soul-broom,Funky Dusty & The Soul Broom,1
87,/relation:the-furious-five,The Furious Five,0
88,/relation:the-gaslight-anthem,The Gaslight Anthem,3
89,/relation:the-gigolos,The Gigolos,0
90,/relation:the-godsons-of-soul,The Godsons Of Soul,0
91,/relation:the-gotham-playboys,The Gotham Playboys,4
92,/relation:graham-parker-the-rumour,Graham Parker & The Rumour,0
93,/relation:grandmaster-flash-the-furious-five,Grandmaster Flash & The Furious Five,1
94,/relation:hall-oates,Hall & Oates,2
95,/relation:the-heartbreakers,The Heartbreakers,0
96,/relation:heavy-trucking,Heavy Trucking,1
97,/relation:hetty-schneider-band,Hetty Schneider Band,1
98,/relation:hootie-the-blowfish,Hootie & The Blowfish,1
99,/relation:the-horns-of-love,The Horns Of Love,70
100,/relation:house-of-blues-band,House Of Blues Band,0
101,/relation:the-houserockers,The Houserockers,0
102,/relation:huey-lewis-the-news,Huey Lewis & The News,0
103,/relation:the-iguanas,The Iguanas,1
104,/relation:the-imposters,The Imposters,0
105,/relation:the-impressions,The Impressions,1
106,/relation:indigo-girls,Indigo Girls,1
107,/relation:iron-city-houserockers,Iron City Houserockers,2
108,/relation:the-jacksons,The Jacksons,0
109,/relation:jeff-lubin-band,Jeff Lubin Band,1
110,/relation:jersey-artists-for-mankind,Jersey Artists For Mankind,0
111,/relation:jersey-artists-for-mankind-choir,Jersey Artists For Mankind Choir,0
112,/relation:jimmy-the-gigolos,Jimmy & The Gigolos,1
113,/relation:jimmy-the-mustangs,Jimmy & The Mustangs,1
114,/relation:the-jirks,The Jirks,0
115,/relation:jobonanno-the-godsons-of-soul,JoBonanno & The Godsons Of Soul,3
116,/relation:joe-d-urso-stone-caravan,Joe D'Urso & Stone Caravan,0
117,/relation:joe-grushecky-no-spring-chickens,Joe Grushecky & No Spring Chickens,1
118,/relation:joe-grushecky-the-houserockers,Joe Grushecky & The Houserockers,31
119,/relation:joe-grushecky-the-iron-city-rockers,Joe Grushecky & The Iron City Rockers,0
120,/relation:john-cafferty-the-beaver-brown-band,John Cafferty & The Beaver Brown Band,0
121,/relation:john-eddie-the-frontstreet-runners,John Eddie & The Frontstreet Runners,0
122,/relation:the-joyce-garrett-singers,The Joyce Garrett Singers,6
123,/relation:the-joyful-noyze,The Joyful Noyze,2
124,/relation:j-t-bowen-the-sensational-soul-cruisers,J.T. Bowen & The Sensational Soul Cruisers,1
125,/relation:the-jukes,The Jukes,0
126,/relation:killer-joe,Killer Joe,1
127,/relation:the-killers,The Killers,1
